Id,Predicted
candidate11,0.5559861
candidate13,0.012351162
candidate15,0.000295819
candidate17,0.9947194
candidate22,0.005228767
candidate26,0.83200836
candidate33,0.88829964
candidate40,0.032686494
candidate42,0.9411393
candidate49,0.01783977
candidate56,0.21242091
candidate59,0.000138059
candidate60,0.31777036
candidate68,0.9537822
candidate75,0.0964808
candidate76,0.35740903
candidate77,0.96980685
candidate79,0.08050994
candidate85,0.48190644
candidate99,0.48752013
candidate100,0.2799435
candidate103,0.98248726
candidate107,0.9996431
candidate108,0.99520797
candidate112,0.81907135
candidate116,0.1605842
candidate117,0.9999722
candidate118,0.99850035
candidate128,0.62972784
candidate129,0.000481091
candidate132,0.63411
candidate137,0.7631456
candidate144,0.008108799
candidate146,0.37306884
candidate149,0.25205758
candidate165,0.000724871
candidate167,0.000161932
candidate170,0.002436206
candidate174,1
candidate178,0.023822626
candidate189,0.99210346
candidate191,0.4447552
candidate194,0.9679593
candidate195,0.99971586
candidate197,0.97984797
candidate201,0.99963117
candidate204,0.38045865
candidate223,0.6509929
candidate239,0.012679054
candidate251,0.00188477
candidate252,0.9921681
candidate259,2.36E-06
candidate264,0.31355482
candidate268,0.8585297
candidate274,0.30906907
candidate275,0.13978955
candidate278,0.99994874
candidate284,0.55299586
candidate286,0.6882519
candidate290,0.99820447
candidate300,0.3285044
candidate301,0.04155525
candidate302,0.022173908
candidate309,0.028368464
candidate312,3.08E-05
candidate329,0.99793494
candidate333,0.9997434
candidate344,0.025245646
candidate346,0.9815475
candidate348,0.9009554
candidate354,0.019141398
candidate357,0.006523695
candidate360,0.9945814
candidate363,0.59239864
candidate368,0.23932329
candidate373,0.04402582
candidate384,0.20429146
candidate390,0.80503595
candidate394,0.06437657
candidate396,0.88944477
candidate397,0.9999316
candidate398,0.99988925
candidate402,0.48081648
candidate403,0.61673677
candidate412,0.6293309
candidate424,0.9472226
candidate427,0.013362414
candidate431,0.027342087
candidate439,0.99803275
candidate440,0.1559761
candidate450,0.11655577
candidate451,0.8859701
candidate455,0.24506195
candidate456,0.0919085
candidate458,1
candidate459,0.8592472
candidate463,0.06408645
candidate466,0.06567801
candidate483,0.9403786
candidate486,0.9984584
candidate489,0.002590503
candidate491,0.048796613
candidate493,0.8181995
candidate498,0.9883963
candidate499,0.17505294
candidate502,2.24E-05
candidate509,0.15906867
candidate513,0.17324433
candidate524,0.9824576
candidate530,0.5113326
candidate544,0.000650093
candidate556,0.9997701
candidate563,0.01741671
candidate564,0.65481913
candidate565,0.001457498
candidate580,0.89348346
candidate582,0.000115526
